year_month,total_gallons
2016-11-01,4852700
2012-08-01,8744100
2016-03-01,58400
2012-07-01,8506700
2012-07-01,623700
2014-09-01,1243100
2014-01-01,386000
2012-03-01,125800
2013-04-01,728100
2015-06-01,522500
2012-05-01,973200
2013-11-01,2930000
2016-03-01,3391100
2016-04-01,2323700
2013-05-01,27000
2012-01-01,1315600
2017-04-01,477000
2018-01-01,1547500
2016-06-01,627500
2017-06-01,5673400
2016-12-01,936200
2013-01-01,88700
2015-01-01,661300
2015-08-01,1559000
2016-08-01,2323200
2015-09-01,381400
2016-10-01,41800
2015-06-01,746200
2016-11-01,158700
2013-01-01,3667400
2015-05-01,2728400
2015-07-01,100
2015-06-01,2720100
2013-07-01,265300
2016-09-01,1379000
2015-07-01,1378100
2013-12-01,1441000
2012-02-01,313000
2014-04-01,485100
2014-09-01,7891000
2012-11-01,7808700
2016-07-01,994200
2017-03-01,2224900
2016-12-01,2295300
2012-02-01,2313800
2012-09-01,1095600
2014-01-01,70300
2016-08-01,1735500
2018-02-01,293000
2015-07-01,248400
2012-06-01,100800
2018-02-01,1510300
2012-06-01,1203400
2013-05-01,5277400
2012-04-01,56300
2015-04-01,143600
2014-01-01,1213400
2013-08-01,358100
2013-11-01,670800
2015-04-01,1997400
2015-10-01,240700
2015-12-01,141900
2013-01-01,259900
2016-01-01,1695200
2015-01-01,341400
2012-09-01,653300
2015-11-01,252000
2012-09-01,1820800
2018-04-01,2106800
2014-04-01,100
2012-03-01,339300
2017-11-01,809400
2012-10-01,324600
2017-11-01,906300
2016-02-01,4155400
2014-01-01,1700100
2013-02-01,380700
2016-04-01,508200
2012-02-01,1186400
2013-11-01,4916400
2013-07-01,609700
2016-08-01,1412200
2016-03-01,27200
2018-03-01,32700
2013-08-01,244800
2013-07-01,343400
2014-11-01,274800
2015-01-01,26000
2015-10-01,8714500
2017-09-01,915500
2014-01-01,285900
2017-02-01,4600
2014-05-01,613900
2015-08-01,1143900
2015-10-01,1407400
2014-04-01,3566100
2013-11-01,2740500
2017-12-01,2597900
2012-08-01,3788900
2015-07-01,1498600
2012-09-01,3393200
2012-01-01,1415700
2016-01-01,183300
2013-01-01,2132400
2015-10-01,1914800
2016-11-01,142700
2016-11-01,7157300
2014-10-01,7359100
2012-12-01,56000
2015-06-01,4947000
2016-06-01,966900
2015-05-01,2454800
2012-09-01,10977800
2013-02-01,972800
2013-03-01,47000
2014-04-01,1273300
2014-09-01,309100
2014-05-01,2501000
2013-10-01,3461900
2017-04-01,0
2012-06-01,1183500
2018-08-01,3162800
2014-09-01,8113000
2016-07-01,3389700
2015-02-01,48200
2017-01-01,1772300
2012-10-01,4058200
2013-05-01,151900
2014-01-01,1071600
2016-02-01,190400
2016-03-01,416200
2015-11-01,722800
2013-11-01,4349900
2014-02-01,178100
2014-12-01,132500
2014-09-01,1294100
2016-12-01,610800
2016-05-01,640000
2012-01-01,848100
2017-08-01,3071600
2015-03-01,2210000
2017-10-01,1214500
2016-05-01,3576500
2015-08-01,4077700
2014-08-01,1641300
2014-01-01,6000
2016-08-01,1876100
2016-09-01,3735200
2013-04-01,330400
2012-11-01,4194000
2012-03-01,447700
2012-08-01,8200300
2013-07-01,2407500
2016-04-01,2804100
2016-02-01,102500
2014-07-01,1821800
2013-06-01,51000
2017-01-01,4464400
2018-07-01,4352700
2016-05-01,1145600
2013-02-01,1708900
2018-03-01,319100
2013-08-01,2176800
2015-11-01,3566600
2016-02-01,608000
2012-10-01,426800
2015-12-01,134600
2017-02-01,320200
2012-09-01,412700
2013-09-01,75000
2013-07-01,9658300
2012-11-01,122000
2015-08-01,682900
2013-04-01,611400
2012-08-01,392000
2017-12-01,1510200
2018-02-01,1523900
2013-07-01,1099700
2013-03-01,445100
2014-11-01,915800
2013-07-01,295100
2015-03-01,462200
2013-05-01,3874400
2015-02-01,113800
2013-10-01,854900
2018-07-01,1178100
2015-04-01,145000
2012-10-01,2692300
2013-01-01,15000
2012-02-01,130800
2015-08-01,6759100
2016-07-01,173000
2014-08-01,1522400
2016-12-01,187500
2014-03-01,286600
2014-07-01,23900
2016-12-01,696500
2012-10-01,523000
2015-03-01,7000
2014-08-01,4271400
2017-01-01,261000
2016-10-01,1392200
2013-09-01,1263100
2014-06-01,3346700
2018-04-01,502600
2012-12-01,806100
2017-02-01,1936900
2014-04-01,363100
2013-01-01,539800
2016-11-01,155300
2018-02-01,954100
2017-11-01,1955400
2013-09-01,1896000
2012-01-01,373500
2012-09-01,1766200
2016-03-01,1855000
2016-06-01,5397400
2016-03-01,228600
2015-03-01,1078000
2012-09-01,3257100
2016-09-01,4744700
2013-08-01,7347200
2013-05-01,461700
2014-09-01,1484000
2012-05-01,58000
2018-06-01,9700
2016-10-01,1591400
2018-05-01,284100
2017-10-01,3925900
2012-10-01,2546100
2012-05-01,3554400
2018-04-01,464600
2016-12-01,2520000
2016-04-01,2259200
2016-01-01,1349800
2013-01-01,0
2016-12-01,329000
2012-12-01,3943200
2013-12-01,1018500
2016-09-01,170700
2015-01-01,699000
2014-03-01,180100
2012-04-01,485000
2015-06-01,53800
2016-10-01,3256600
2012-07-01,8030500
2014-02-01,121300
2015-06-01,185100
2018-04-01,6700
2012-09-01,129400
2015-01-01,649400
2017-02-01,1460900
2018-09-01,1776500
2018-05-01,6043900
2017-04-01,2659100
2013-08-01,8023400
2017-03-01,445400
2012-08-01,1479500
2016-01-01,1288300
2013-10-01,681600
2013-05-01,5616400
2017-12-01,6700
2016-08-01,329000
2015-12-01,400800
2015-01-01,462000
2015-11-01,198200
2014-11-01,759900
2016-11-01,7333400
2017-05-01,235200
2012-04-01,430600
2017-01-01,317200
2014-09-01,387000
2015-03-01,78800
2013-05-01,2599900
2015-10-01,3018800
2018-05-01,3201700
2016-12-01,3505900
2015-09-01,1601200
2012-08-01,242700
2016-01-01,472800
2012-12-01,318800
2014-03-01,95100
2016-07-01,8390400
2017-12-01,2519600
2015-04-01,3901200
2012-10-01,7530600
2015-03-01,372800
2012-06-01,78000
2012-10-01,354300
2016-02-01,262000
2016-08-01,1797200
