year_month,total_gallons
2013-02-01,1800
2016-08-01,82200
2014-04-01,0
2015-06-01,5900
2017-03-01,16500
2013-02-01,1400
2012-05-01,34300
2015-01-01,3000
2016-04-01,3700
2013-12-01,10200
2014-10-01,1800
2012-01-01,28100
2016-11-01,38200
2016-10-01,28000
2012-07-01,53200
2017-02-01,2800
2012-03-01,20300
2013-08-01,52500
2015-07-01,481400
2018-06-01,9000
2012-02-01,51600
2016-08-01,139000
2016-10-01,710500
2018-01-01,3500
2018-04-01,410200
2012-01-01,1800
2016-04-01,23600
2014-06-01,18100
2016-04-01,10500
2016-01-01,4600
2013-02-01,40900
2015-09-01,2000
2018-02-01,14600
2014-08-01,32900
2015-02-01,268300
2013-06-01,575500
2013-11-01,800
2016-10-01,12700
2012-01-01,191800
2016-12-01,10700
2014-11-01,16800
2014-10-01,519500
2015-02-01,9700
2013-01-01,10300
2015-07-01,23000
2014-02-01,1800
2015-11-01,3200
2012-01-01,79900
2013-10-01,44800
2012-10-01,17900
2013-03-01,25300
2016-01-01,25000
2012-05-01,190300
2014-02-01,3100
2015-01-01,3100
2013-12-01,100
2014-02-01,40300
2012-08-01,0
2015-04-01,9400
2016-02-01,21700
2017-02-01,2800
2016-09-01,40000
2012-07-01,138700
2015-12-01,75000
2013-10-01,42500
2012-10-01,65100
2015-02-01,101900
2014-08-01,24100
2016-01-01,47700
2016-01-01,35600
2015-03-01,31100
2013-08-01,38200
2013-08-01,3500
2014-01-01,104800
2013-04-01,81800
2012-06-01,29300
2012-04-01,27000
2017-01-01,11900
2014-11-01,147700
2016-06-01,25000
2013-10-01,163900
2017-01-01,1000
2015-03-01,18500
2016-05-01,5400
2016-12-01,32500
2017-03-01,800
2012-09-01,476500
2017-03-01,35900
2014-10-01,4200
2013-04-01,75500
2016-04-01,16200
2015-03-01,1200
2016-10-01,36500
2015-06-01,10600
2016-06-01,46000
2017-01-01,19500
2013-11-01,6900
2013-01-01,66000
2014-11-01,228800
2013-10-01,662700
2013-07-01,17600
2016-01-01,14900
2012-08-01,56400
2013-06-01,2500
2014-08-01,99400
2012-08-01,152100
2015-01-01,25000
2014-05-01,56600
2014-03-01,9000
2016-09-01,5300
2016-08-01,61300
2017-10-01,0
2015-10-01,19100
2015-10-01,30800
2013-01-01,1400
2015-08-01,86700
2012-04-01,12900
2015-12-01,4200
2017-01-01,43200
2017-03-01,24900
2013-05-01,7400
2016-03-01,17800
2016-10-01,150700
2013-09-01,26100
2014-08-01,223500
2014-08-01,25600
2012-12-01,1900
2017-11-01,0
2012-01-01,0
2016-07-01,85500
2013-07-01,102800
2016-08-01,151200
2014-11-01,94300
2015-10-01,12600
2016-03-01,23200
2014-10-01,18800
2016-07-01,54000
2014-04-01,19600
2013-01-01,12600
2015-11-01,16800
2012-12-01,118000
2016-03-01,21500
2016-12-01,18700
2014-07-01,99900
2018-05-01,22800
2013-03-01,1000
2016-08-01,64400
2012-10-01,117300
2014-06-01,1800
2013-01-01,8600
2013-01-01,241000
2014-04-01,11400
2016-06-01,7200
2016-07-01,6800
2015-06-01,118700
2012-02-01,42200
2018-07-01,129200
2012-02-01,181000
2016-12-01,45700
2016-07-01,78600
2012-07-01,2600
2013-09-01,75200
2013-07-01,2600
2017-03-01,9600
2012-07-01,842400
2015-06-01,26000
2012-04-01,59400
2015-05-01,24100
2015-09-01,5400
2013-09-01,47600
2015-05-01,0
2012-02-01,13400
2014-11-01,8600
2014-02-01,12500
2018-03-01,8800
2016-04-01,66300
2016-02-01,3000
2014-06-01,29200
2018-06-01,29600
2012-11-01,105600
2013-05-01,27800
2012-11-01,23500
2015-12-01,9100
2014-12-01,32900
2014-05-01,0
2016-01-01,10500
2013-03-01,2400
2015-05-01,5100
2014-12-01,552600
2015-10-01,6300
2016-08-01,13500
2017-01-01,0
2017-01-01,19500
2016-09-01,75800
2018-06-01,113600
2012-08-01,51300
2016-10-01,36000
2016-11-01,0
2016-02-01,52100
2015-07-01,74900
2016-03-01,30600
2012-08-01,723100
2014-03-01,43400
