year_month,postal_code,customer_class,total_gallons
201403,78702,Residential,23450100
201311,78746,Multi-Family,12801400
201704,78652,Multi-Family,58400
201302,78727,Irrigation - Residential,1800
201608,78726,Irrigation - Residential,82200
201611,78729,Irrigation - Multi-Family,4852700
201808,78751,Multi-Family,13112700
201312,78719,Residential,1394200
201208,78753,Irrigation - Multi-Family,8744100
201402,78753,Residential,33497500
201603,78752,Irrigation - Multi-Family,58400
201207,78749,Irrigation - Multi-Family,8506700
201207,78705,Irrigation - Multi-Family,623700
201404,78747,Irrigation - Residential,0
201311,78722,Multi-Family,2632600
201502,78701,Multi-Family,13211900
201409,78751,Irrigation - Multi-Family,1243100
201401,78747,Irrigation - Multi-Family,386000
201203,78728,Irrigation - Multi-Family,125800
201304,78728,Irrigation - Multi-Family,728100
201306,78732,Residential,6700
201506,78737,Irrigation - Residential,5900
201703,78758,Irrigation - Residential,16500
201506,78746,Irrigation - Multi-Family,522500
201205,78731,Irrigation - Multi-Family,973200
201302,78744,Irrigation - Residential,1400
201301,78749,Residential,59260300
201205,78724,Irrigation - Residential,34300
201612,78721,Multi-Family,4586500
201206,78747,Multi-Family,8090900
201211,78722,Residential,9681200
201612,78748,Multi-Family,24771800
201501,78728,Irrigation - Residential,3000
201604,78753,Irrigation - Residential,3700
201411,78660,Multi-Family,4142300
201804,78719,Multi-Family,321000
201311,78741,Irrigation - Multi-Family,2930000
201511,78701,Residential,773800
201603,78727,Irrigation - Multi-Family,3391100
201312,78729,Irrigation - Residential,10200
201604,78741,Irrigation - Multi-Family,2323700
201502,78701,Residential,643100
201303,78754,Multi-Family,16183600
201305,78721,Irrigation - Multi-Family,27000
201406,78702,Multi-Family,10860900
201410,78753,Irrigation - Residential,1800
201201,78705,Irrigation - Residential,28100
201706,78728,Residential,6284400
201203,78741,Multi-Family,80321000
201506,78752,Residential,10904200
201508,78759,Multi-Family,44686000
201201,78729,Irrigation - Multi-Family,1315600
201204,78729,Multi-Family,21898400
201401,78725,Multi-Family,324800
201611,78717,Irrigation - Residential,38200
201303,78752,Residential,11982800
201610,78757,Irrigation - Residential,28000
201704,78736,Irrigation - Multi-Family,477000
201801,78749,Irrigation - Multi-Family,1547500
201207,78652,Irrigation - Residential,53200
201511,78747,Multi-Family,6824800
201606,78736,Irrigation - Multi-Family,627500
201609,78735,Multi-Family,9873400
201407,78735,Multi-Family,8777900
201601,78727,Residential,31663600
201702,78721,Irrigation - Residential,2800
201309,78723,Multi-Family,23364700
201706,78745,Irrigation - Multi-Family,5673400
201612,78759,Irrigation - Multi-Family,936200
201501,78719,Residential,1596200
201203,78724,Irrigation - Residential,20300
201301,78752,Irrigation - Multi-Family,88700
201501,78701,Irrigation - Multi-Family,661300
201308,78758,Irrigation - Residential,52500
201507,78731,Irrigation - Residential,481400
201311,78652,Multi-Family,9900
201806,78737,Irrigation - Residential,9000
201202,78751,Irrigation - Residential,51600
201210,78722,Residential,9122200
201303,78756,Residential,11185700
201508,78702,Irrigation - Multi-Family,1559000
201506,78701,Residential,767900
201608,78613,Irrigation - Multi-Family,2323200
201608,78759,Irrigation - Residential,139000
201603,78731,Multi-Family,17415700
201610,78746,Irrigation - Residential,710500
201801,78737,Irrigation - Residential,3500
201804,78731,Irrigation - Residential,410200
201201,78729,Irrigation - Residential,1800
201803,78721,Multi-Family,4449600
201512,78754,Multi-Family,15423000
201706,78749,Residential,65804800
201509,78756,Irrigation - Multi-Family,381400
201601,78652,Residential,1665300
201507,78721,Residential,15707400
201808,78727,Multi-Family,25464700
201610,78739,Irrigation - Multi-Family,41800
201604,78724,Irrigation - Residential,23600
201506,78759,Irrigation - Multi-Family,746200
201611,78722,Irrigation - Multi-Family,158700
201804,78613,Multi-Family,3076900
201406,78729,Irrigation - Residential,18100
201604,78750,Irrigation - Residential,10500
201601,78721,Irrigation - Residential,4600
201804,78750,Residential,49213600
201512,78731,Residential,43454700
201202,78724,Residential,16945000
201302,78759,Irrigation - Residential,40900
201802,78660,Residential,8345900
201509,78723,Irrigation - Residential,2000
201212,78703,Residential,61200900
201301,78726,Irrigation - Multi-Family,3667400
201209,78741,Multi-Family,88215800
201204,78735,Residential,22972600
201205,78745,Multi-Family,34393900
201301,78722,Multi-Family,2743400
201505,78748,Irrigation - Multi-Family,2728400
201204,78660,Multi-Family,2790400
201802,78724,Irrigation - Residential,14600
201605,78725,Residential,2324400
201709,78701,Residential,1055600
201305,78704,Residential,48425400
201806,78729,Residential,27445700
201408,78741,Irrigation - Residential,32900
201502,78703,Irrigation - Residential,268300
201306,78731,Irrigation - Residential,575500
201310,78727,Residential,44765400
201806,78652,Residential,6219800
201311,78721,Irrigation - Residential,800
201303,78745,Residential,70995300
201205,78756,Multi-Family,5883600
201610,78737,Irrigation - Residential,12700
201302,78731,Residential,50131000
201507,78739,Irrigation - Multi-Family,100
201601,78754,Residential,20345000
201201,78746,Irrigation - Residential,191800
201506,78753,Irrigation - Multi-Family,2720100
201212,78749,Residential,70314200
201310,78736,Multi-Family,2452900
201612,78727,Irrigation - Residential,10700
201711,78746,Multi-Family,11382900
201608,78722,Multi-Family,3145300
201202,78757,Residential,26408600
201411,78727,Irrigation - Residential,16800
201301,78719,Multi-Family,536200
201602,78737,Residential,5965900
201307,78722,Irrigation - Multi-Family,265300
201609,78702,Irrigation - Multi-Family,1379000
201412,78702,Residential,23813900
201507,78613,Multi-Family,1235800
201502,78754,Residential,16919000
201507,78759,Irrigation - Multi-Family,1378100
201312,78727,Irrigation - Multi-Family,1441000
201202,78705,Irrigation - Multi-Family,313000
201410,78731,Irrigation - Residential,519500
201502,78751,Irrigation - Residential,9700
201404,78702,Irrigation - Multi-Family,485100
201301,78724,Irrigation - Residential,10300
201509,78732,Residential,12700
201409,78749,Irrigation - Multi-Family,7891000
201611,78717,Residential,33388700
201404,78660,Residential,7568100
201507,78754,Irrigation - Residential,23000
201309,78738,Residential,5500
201402,78747,Irrigation - Residential,1800
201312,78759,Residential,48339000
201211,78748,Irrigation - Multi-Family,7808700
201201,78729,Multi-Family,21389000
201305,78736,Residential,13978800
201511,78721,Irrigation - Residential,3200
201303,78730,Residential,11852100
201607,78703,Irrigation - Multi-Family,994200
201605,78617,Residential,17410100
201201,78747,Irrigation - Residential,79900
201310,78750,Irrigation - Residential,44800
201703,78745,Irrigation - Multi-Family,2224900
201210,78729,Irrigation - Residential,17900
201207,78704,Multi-Family,50265900
201612,78717,Irrigation - Multi-Family,2295300
201303,78717,Irrigation - Residential,25300
201504,78719,Residential,1478900
201202,78726,Irrigation - Multi-Family,2313800
201209,78703,Irrigation - Multi-Family,1095600
201601,78744,Irrigation - Residential,25000
201803,78750,Multi-Family,10974400
201210,78756,Residential,12906000
201401,78723,Irrigation - Multi-Family,70300
201205,78747,Irrigation - Residential,190300
201402,78737,Irrigation - Residential,3100
201608,78759,Irrigation - Multi-Family,1735500
201501,78729,Irrigation - Residential,3100
201312,78727,Irrigation - Residential,100
201402,78757,Irrigation - Residential,40300
201808,78753,Multi-Family,58361400
201802,78703,Irrigation - Multi-Family,293000
201208,78739,Irrigation - Residential,0
201507,78724,Irrigation - Multi-Family,248400
201604,78738,Residential,1500
201504,78660,Irrigation - Residential,9400
201212,78723,Multi-Family,22589300
201602,78736,Irrigation - Residential,21700
201601,78739,Residential,30794600
201310,78721,Residential,15099400
201802,78726,Residential,12143000
201205,78719,Multi-Family,583300
201702,78737,Irrigation - Residential,2800
201609,78701,Irrigation - Residential,40000
201401,78750,Multi-Family,13185400
201201,78702,Residential,28371300
201210,78719,Multi-Family,806300
201207,78705,Irrigation - Residential,138700
201206,78724,Irrigation - Multi-Family,100800
201702,78758,Multi-Family,45975100
201802,78744,Irrigation - Multi-Family,1510300
201206,78744,Irrigation - Multi-Family,1203400
201512,78702,Irrigation - Residential,75000
201310,78652,Irrigation - Residential,42500
201406,78754,Multi-Family,17929300
201607,78736,Multi-Family,3259600
201403,78747,Multi-Family,6390900
201210,78747,Irrigation - Residential,65100
201305,78727,Irrigation - Multi-Family,5277400
201211,78613,Multi-Family,19000
201502,78746,Irrigation - Residential,101900
201408,78737,Irrigation - Residential,24100
201601,78704,Irrigation - Residential,47700
201601,78756,Irrigation - Residential,35600
201206,78722,Residential,11557800
201204,78756,Irrigation - Multi-Family,56300
201504,78731,Irrigation - Multi-Family,143600
201401,78745,Irrigation - Multi-Family,1213400
201503,78758,Irrigation - Residential,31100
201603,78742,Multi-Family,246400
201511,78613,Multi-Family,1176100
201308,78723,Irrigation - Multi-Family,358100
201308,78749,Irrigation - Residential,38200
201402,78721,Residential,12497200
201305,78613,Multi-Family,57700
201311,78728,Irrigation - Multi-Family,670800
201308,78744,Irrigation - Residential,3500
201408,78741,Multi-Family,82941500
201504,78727,Irrigation - Multi-Family,1997400
201510,78723,Irrigation - Multi-Family,240700
201301,78736,Multi-Family,2358300
201401,78730,Irrigation - Residential,104800
201403,78730,Multi-Family,4173500
201512,78756,Irrigation - Multi-Family,141900
201506,78752,Multi-Family,17645600
201203,78724,Residential,19627600
201304,78751,Irrigation - Residential,81800
201301,78751,Irrigation - Multi-Family,259900
201302,78744,Multi-Family,23364800
201601,78729,Irrigation - Multi-Family,1695200
201206,78758,Irrigation - Residential,29300
201808,78730,Residential,43500800
201302,78703,Residential,43719800
201411,78729,Multi-Family,19562900
201204,78745,Irrigation - Residential,27000
201501,78735,Irrigation - Multi-Family,341400
201703,78741,Multi-Family,74763600
201209,78705,Irrigation - Multi-Family,653300
201809,78757,Residential,48090600
201809,78754,Multi-Family,17386000
201701,78736,Irrigation - Residential,11900
201411,78730,Irrigation - Residential,147700
201808,78732,Residential,17200
201701,78724,Multi-Family,12163900
201606,78745,Irrigation - Residential,25000
201504,78757,Residential,27837900
201310,78730,Irrigation - Residential,163900
201412,78728,Multi-Family,6991300
201511,78721,Irrigation - Multi-Family,252000
201701,78653,Irrigation - Residential,1000
201201,78742,Residential,707300
201309,78652,Multi-Family,13700
201608,78730,Multi-Family,5958500
201504,78721,Residential,12477900
201209,78747,Irrigation - Multi-Family,1820800
201503,78702,Irrigation - Residential,18500
201605,78723,Irrigation - Residential,5400
201804,78754,Irrigation - Multi-Family,2106800
201612,78745,Irrigation - Residential,32500
201703,78747,Irrigation - Residential,800
201302,78652,Multi-Family,20200
201207,78732,Residential,18200
201511,78717,Multi-Family,9292800
201404,78721,Irrigation - Multi-Family,100
201209,78730,Irrigation - Residential,476500
201311,78731,Residential,49981000
201703,78757,Irrigation - Residential,35900
201203,78705,Irrigation - Multi-Family,339300
201401,78660,Multi-Family,4057100
201501,78738,Residential,7700
201410,78729,Irrigation - Residential,4200
201304,78705,Irrigation - Residential,75500
201604,78702,Irrigation - Residential,16200
201501,78722,Residential,7769600
201205,78729,Residential,28412500
201711,78702,Irrigation - Multi-Family,809400
201210,78723,Irrigation - Multi-Family,324600
201711,78613,Irrigation - Multi-Family,906300
201804,78723,Multi-Family,22497300
201503,78750,Irrigation - Residential,1200
201602,78748,Irrigation - Multi-Family,4155400
201610,78756,Irrigation - Residential,36500
201506,78757,Irrigation - Residential,10600
201606,78749,Irrigation - Residential,46000
201303,78729,Multi-Family,20737700
201701,78758,Irrigation - Residential,19500
201311,78758,Irrigation - Residential,6900
201610,78660,Multi-Family,4800300
201301,78705,Irrigation - Residential,66000
201411,78704,Irrigation - Residential,228800
201310,78731,Irrigation - Residential,662700
201211,78732,Residential,16900
201306,78757,Residential,38206100
201307,78727,Irrigation - Residential,17600
201305,78735,Multi-Family,9892400
201601,78705,Irrigation - Residential,14900
201801,78749,Residential,49257100
201401,78749,Irrigation - Multi-Family,1700100
201302,78703,Irrigation - Multi-Family,380700
201208,78726,Irrigation - Residential,56400
201310,78712,Residential,0
201306,78744,Irrigation - Residential,2500
201408,78751,Irrigation - Residential,99400
201805,78617,Multi-Family,4220600
201507,78660,Multi-Family,4414200
201405,78729,Residential,24754500
201208,78745,Irrigation - Residential,152100
201408,78747,Residential,31841300
201501,78759,Irrigation - Residential,25000
201207,78727,Multi-Family,22301800
201212,78754,Residential,20045700
201806,78736,Multi-Family,2988200
201711,78726,Residential,16732000
201411,78751,Residential,16345600
201604,78746,Irrigation - Multi-Family,508200
201702,78724,Multi-Family,10907800
201310,78725,Multi-Family,346600
201405,78745,Irrigation - Residential,56600
201702,78727,Residential,26919100
201202,78717,Irrigation - Multi-Family,1186400
201509,78723,Multi-Family,24163800
