months,total gallons
01-01-2012,1045208300
01-02-2012,939876900
01-03-2012,1222826500
01-04-2012,1349147000
01-05-2012,1130823000
01-06-2012,1074245400
01-07-2012,1109650500
01-08-2012,1185757600
01-09-2012,1111904900
01-10-2012,989801000
01-11-2012,1245158500
01-12-2012,1205941700
01-01-2013,1347370000
01-02-2013,1259945700
01-03-2013,1148006400
01-04-2013,1276172900
01-05-2013,877569600
01-06-2013,1128498200
01-07-2013,1442683600
01-08-2013,1317468100
01-09-2013,1445823000
01-10-2013,882474300
01-11-2013,1124480900
01-12-2013,943056900
01-01-2014,1037030000
01-02-2014,1185223500
01-03-2014,1038637400
01-04-2014,1385639900
01-05-2014,1205353100
01-06-2014,1079808900
01-07-2014,1398355500
01-08-2014,1237322500
01-09-2014,868072800
01-10-2014,1102888700
01-11-2014,845722500
01-12-2014,770976468
01-01-2015,1017596700
01-02-2015,862730043
01-03-2015,899630600
01-04-2015,801548200
01-05-2015,717600600
01-06-2015,814883900
01-07-2015,948884989
01-08-2015,1142137200
01-09-2015,1531089200
01-10-2015,1502514800
01-11-2015,1626405600
01-12-2015,1371096525
01-01-2016,1594084800
01-02-2016,1387648700
01-03-2016,1398591400
01-04-2016,1378433200
01-05-2016,1675242400
01-06-2016,1777987800
01-07-2016,1229347000
01-08-2016,1477564300
01-09-2016,1299398100
01-10-2016,1278150000
01-11-2016,1750551300
01-12-2016,1276229000
01-01-2017,1398138900
01-02-2017,1249219000
01-03-2017,1450113900
01-04-2017,1221100600
01-05-2017,1304408875
01-06-2017,1357034100
01-07-2017,1369246100
01-08-2017,1327706800
01-09-2017,1427686600
01-10-2017,1303152600
01-11-2017,1052588000
01-12-2017,1151347200
01-01-2018,1317081900
01-02-2018,1427269200
01-03-2018,1511196400
01-04-2018,1407651000
01-05-2018,1476807300
01-06-2018,1236809300
01-07-2018,1262114200
01-08-2018,1363306600
01-09-2018,1318655800
