months,total gallons
01-01-2012,27669600
01-02-2012,25344600
01-03-2012,27141200
01-04-2012,33087800
01-05-2012,56310700
01-06-2012,73955700
01-07-2012,90723200
01-08-2012,112099300
01-09-2012,114582400
01-10-2012,81499200
01-11-2012,66001800
01-12-2012,55727800
01-01-2013,43074300
01-02-2013,37587300
01-03-2013,40331000
01-04-2013,50158700
01-05-2013,62340500
01-06-2013,68847100
01-07-2013,85909600
01-08-2013,93580500
01-09-2013,94209800
01-10-2013,72288200
01-11-2013,49159700
01-12-2013,25659800
01-01-2014,22911400
01-02-2014,17238800
01-03-2014,24106900
01-04-2014,43282600
01-05-2014,58372300
01-06-2014,68154800
01-07-2014,74011300
01-08-2014,87535200
01-09-2014,101013000
01-10-2014,77364700
01-11-2014,59088700
01-12-2014,35903000
01-01-2015,25748400
01-02-2015,17609600
01-03-2015,20213900
01-04-2015,31697000
01-05-2015,43705100
01-06-2015,43003800
01-07-2015,69544400
01-08-2015,111612600
01-09-2015,132985300
01-10-2015,116941900
01-11-2015,72742600
01-12-2015,45677100
01-01-2016,33969700
01-02-2016,32786600
01-03-2016,41092100
01-04-2016,49627300
01-05-2016,52670200
01-06-2016,58651600
01-07-2016,103301800
01-08-2016,123462800
01-09-2016,100622300
01-10-2016,93833400
01-11-2016,81454800
01-12-2016,58110000
01-01-2017,37444700
01-02-2017,34439100
01-03-2017,41645400
01-04-2017,50469100
01-05-2017,72573200
01-06-2017,92059900
01-07-2017,113668300
01-08-2017,123238800
01-09-2017,118754900
01-10-2017,97906600
01-11-2017,77417000
01-12-2017,59115900
01-01-2018,41349000
01-02-2018,27891400
01-03-2018,30844300
01-04-2018,53579400
01-05-2018,73609100
01-06-2018,108484900
01-07-2018,115949600
01-08-2018,141792700
01-09-2018,138102700
