months,total gallons
01-01-2012,1902200
01-02-2012,1661500
01-03-2012,1694100
01-04-2012,2490100
01-05-2012,4261400
01-06-2012,5197400
01-07-2012,5716000
01-08-2012,5597200
01-09-2012,6243300
01-10-2012,3796300
01-11-2012,3968100
01-12-2012,3954400
01-01-2013,2665600
01-02-2013,2038500
01-03-2013,3061100
01-04-2013,3258800
01-05-2013,3440800
01-06-2013,3566800
01-07-2013,5092900
01-08-2013,5365500
01-09-2013,5764600
01-10-2013,3711300
01-11-2013,1948400
01-12-2013,1463200
01-01-2014,1678900
01-02-2014,1516200
01-03-2014,1770200
01-04-2014,2454600
01-05-2014,3589000
01-06-2014,3320900
01-07-2014,3681400
01-08-2014,4669500
01-09-2014,5227200
01-10-2014,3373000
01-11-2014,3197700
01-12-2014,1674900
01-01-2015,1539400
01-02-2015,1051900
01-03-2015,1225100
01-04-2015,1885000
01-05-2015,1926800
01-06-2015,1883000
01-07-2015,3667900
01-08-2015,7380500
01-09-2015,6733400
01-10-2015,5781600
01-11-2015,2993300
01-12-2015,1559600
01-01-2016,1307900
01-02-2016,2060100
01-03-2016,2515500
01-04-2016,2334700
01-05-2016,1826900
01-06-2016,2208700
01-07-2016,5277900
01-08-2016,5981200
01-09-2016,4387200
01-10-2016,4500600
01-11-2016,3745500
01-12-2016,3216200
01-01-2017,1852100
01-02-2017,1715000
01-03-2017,2028400
01-04-2017,2598500
01-05-2017,3873100
01-06-2017,4202100
01-07-2017,5348000
01-08-2017,6045400
01-09-2017,5900900
01-10-2017,4119200
01-11-2017,3576400
01-12-2017,2746000
01-01-2018,1766900
01-02-2018,1593800
01-03-2018,1654200
01-04-2018,3050200
01-05-2018,3970000
01-06-2018,4277200
01-07-2018,4663400
01-08-2018,6301200
01-09-2018,4987300
