months,total gallons
01-01-2012,670383000
01-02-2012,602754700
01-03-2012,657267600
01-04-2012,627037300
01-05-2012,681098100
01-06-2012,713194800
01-07-2012,721844200
01-08-2012,750990100
01-09-2012,741896400
01-10-2012,701344600
01-11-2012,705902300
01-12-2012,662288100
01-01-2013,707732600
01-02-2013,626891400
01-03-2013,634054000
01-04-2013,653163100
01-05-2013,583950800
01-06-2013,689307600
01-07-2013,703111300
01-08-2013,737141200
01-09-2013,730880400
01-10-2013,707116300
01-11-2013,679878700
01-12-2013,652592900
01-01-2014,712447500
01-02-2014,628043600
01-03-2014,617660100
01-04-2014,655641400
01-05-2014,658407200
01-06-2014,685999300
01-07-2014,694363100
01-08-2014,705901900
01-09-2014,751096100
01-10-2014,674990700
01-11-2014,701241900
01-12-2014,665498300
01-01-2015,718464300
01-02-2015,617807800
01-03-2015,689216600
01-04-2015,654999600
01-05-2015,648225500
01-06-2015,675209300
01-07-2015,712372900
01-08-2015,746551600
01-09-2015,763714200
01-10-2015,742626900
01-11-2015,687954200
01-12-2015,697340100
01-01-2016,720517600
01-02-2016,659342300
01-03-2016,698061700
01-04-2016,700438400
01-05-2016,681416600
01-06-2016,728178300
01-07-2016,729841300
01-08-2016,746039500
01-09-2016,770970300
01-10-2016,723505300
01-11-2016,707299000
01-12-2016,718936300
01-01-2017,729649100
01-02-2017,637585400
01-03-2017,708904600
01-04-2017,682617100
01-05-2017,699739700
01-06-2017,738565700
01-07-2017,751478800
01-08-2017,729147900
01-09-2017,792837800
01-10-2017,733005200
01-11-2017,711384400
01-12-2017,683588100
01-01-2018,751269100
01-02-2018,684414900
01-03-2018,645635200
01-04-2018,724673500
01-05-2018,698846800
01-06-2018,755173900
01-07-2018,722047200
01-08-2018,797423300
01-09-2018,767213100
