year_month,total_gallons
2013-11-01,12801400
2017-04-01,58400
2018-08-01,13112700
2013-11-01,2632600
2015-02-01,13211900
2016-12-01,4586500
2012-06-01,8090900
2016-12-01,24771800
2014-11-01,4142300
2018-04-01,321000
2013-03-01,16183600
2014-06-01,10860900
2012-03-01,80321000
2015-08-01,44686000
2012-04-01,21898400
2014-01-01,324800
2015-11-01,6824800
2016-09-01,9873400
2014-07-01,8777900
2013-09-01,23364700
2013-11-01,9900
2016-03-01,17415700
2018-03-01,4449600
2015-12-01,15423000
2018-08-01,25464700
2018-04-01,3076900
2012-09-01,88215800
2012-05-01,34393900
2013-01-01,2743400
2012-04-01,2790400
2012-05-01,5883600
2013-10-01,2452900
2017-11-01,11382900
2016-08-01,3145300
2013-01-01,536200
2015-07-01,1235800
2012-01-01,21389000
2012-07-01,50265900
2018-03-01,10974400
2018-08-01,58361400
2012-12-01,22589300
2012-05-01,583300
2014-01-01,13185400
2012-10-01,806300
2017-02-01,45975100
2014-06-01,17929300
2016-07-01,3259600
2014-03-01,6390900
2012-11-01,19000
2016-03-01,246400
2015-11-01,1176100
2013-05-01,57700
2014-08-01,82941500
2013-01-01,2358300
2014-03-01,4173500
2015-06-01,17645600
2013-02-01,23364800
2014-11-01,19562900
2017-03-01,74763600
2018-09-01,17386000
2017-01-01,12163900
2014-12-01,6991300
2013-09-01,13700
2016-08-01,5958500
2013-02-01,20200
2015-11-01,9292800
2014-01-01,4057100
2018-04-01,22497300
2013-03-01,20737700
2016-10-01,4800300
2013-05-01,9892400
2018-05-01,4220600
2015-07-01,4414200
2012-07-01,22301800
2018-06-01,2988200
2017-02-01,10907800
2013-10-01,346600
2015-09-01,24163800
2015-08-01,523400
2015-12-01,204400
2015-05-01,11738600
2014-11-01,82608000
2016-07-01,8309200
2014-05-01,15700
2013-06-01,12552000
2012-10-01,24221800
2012-08-01,389300
2014-08-01,32000
2015-08-01,8159500
2018-04-01,3580800
2013-03-01,11535900
2012-03-01,21100
2012-04-01,7178500
2012-03-01,18042700
2016-01-01,411900
2012-07-01,598600
2013-06-01,11972600
2015-03-01,979900
2012-07-01,311700
2012-08-01,29608900
2017-02-01,8778700
2016-05-01,12868300
2018-07-01,26143200
2012-05-01,15304700
2013-02-01,20400000
2012-06-01,50197800
2013-07-01,20000
2013-04-01,79600
2014-09-01,5025000
2018-06-01,5504600
2013-04-01,26201500
2014-12-01,15603700
2014-06-01,216700
2012-11-01,26410900
2016-06-01,4489600
2016-03-01,71800
2015-12-01,8087200
2018-01-01,32107100
2016-02-01,30300
2013-09-01,13127900
2014-10-01,469600
2012-06-01,53878600
2014-05-01,3522400
2017-01-01,18945200
2012-05-01,19932400
2016-03-01,14203500
2018-01-01,10254600
2016-10-01,8060500
2017-08-01,23829800
2013-08-01,24687800
2017-11-01,21244000
2012-02-01,246000
2012-10-01,12496600
2016-02-01,190800
2014-08-01,14057600
2015-12-01,2234800
2015-01-01,2936600
2013-07-01,7410300
2013-04-01,23000
2014-09-01,241600
2013-07-01,11265600
2014-04-01,3785200
2013-02-01,463900
2012-06-01,14868200
2013-06-01,2894000
2017-03-01,59700
2015-11-01,7000700
2014-03-01,2366100
2013-07-01,433000
2015-05-01,8212000
2015-08-01,4771500
2016-05-01,37470400
2016-02-01,11803700
2016-12-01,16555500
2012-12-01,7417300
2013-09-01,349900
2012-04-01,10912100
2017-10-01,24027100
2012-03-01,21012400
2012-03-01,9733400
2016-09-01,13912200
2012-02-01,584700
2014-01-01,28399300
2013-02-01,2042900
2014-11-01,20058400
2015-02-01,41953700
2016-09-01,4727600
2015-02-01,14911000
2013-01-01,10784100
2015-12-01,13184700
2016-07-01,267300
2012-01-01,16367600
2015-02-01,2215300
2013-12-01,12139200
2013-01-01,20669400
2015-10-01,2246100
2014-06-01,20566800
2014-11-01,7698500
2012-11-01,20008300
2012-10-01,14000
2012-04-01,31612800
2013-03-01,32908800
2014-06-01,19549200
2015-03-01,11369200
2015-10-01,13251100
2016-08-01,9190400
2016-02-01,15954600
2012-08-01,11733100
2013-02-01,16756000
2018-09-01,18646000
2013-11-01,5616900
2016-03-01,12517300
2018-01-01,21010400
2016-02-01,4000000
2012-02-01,29797500
2016-09-01,3373000
2013-10-01,22596200
2013-08-01,11875000
2014-12-01,51488800
2012-06-01,3296900
2015-06-01,8241600
2012-06-01,5843300
2012-08-01,17072900
2016-05-01,13058900
2015-05-01,12325500
2013-08-01,261300
2014-12-01,17182900
2015-02-01,32470700
2015-02-01,16638800
2012-10-01,2315300
2018-04-01,12790700
2014-08-01,4558200
2012-04-01,2780700
2017-09-01,42691700
2013-12-01,24139500
2018-01-01,14113900
2017-05-01,13411000
2016-06-01,13035500
2018-02-01,14062400
2012-01-01,33699900
2012-07-01,35101300
2016-01-01,17587800
2015-04-01,19052000
2012-11-01,4958000
2013-12-01,11540100
2018-07-01,273800
2016-10-01,3051800
2013-04-01,2846400
2012-04-01,2132600
2012-05-01,19400
2015-10-01,561200
2016-04-01,21434400
2014-12-01,9632900
2014-07-01,20771000
2014-10-01,35000
2013-01-01,19645900
2017-07-01,25197800
2018-06-01,13073400
2013-08-01,19461800
2016-01-01,7560500
2016-08-01,12788900
2017-11-01,22202000
2017-07-01,41296500
2015-04-01,6438400
2016-06-01,33341000
2014-01-01,21916100
2012-02-01,5467000
2015-08-01,23028800
2013-02-01,340600
2016-06-01,419900
2015-09-01,22174700
2012-06-01,26584700
2015-06-01,7037500
2012-04-01,35997000
2012-11-01,2165600
2012-10-01,13036500
2015-08-01,15294100
2016-05-01,46857500
2014-01-01,2269400
2015-08-01,11039200
2015-07-01,11704900
2015-08-01,23394700
2015-05-01,72557200
2017-02-01,50800
2014-09-01,4055600
2015-06-01,72791700
2015-01-01,4708100
2014-07-01,21770500
2015-06-01,12986800
2017-02-01,14656700
2012-08-01,52928100
2016-12-01,3318700
2015-04-01,3382000
2014-05-01,2043500
2014-07-01,11475500
2014-12-01,103700
2013-04-01,9411900
2015-07-01,22073800
2018-03-01,3634700
2017-09-01,236700
2018-02-01,166800
2017-06-01,17002500
2013-06-01,529700
2016-12-01,14480600
2016-07-01,2403800
2013-05-01,2566900
2018-04-01,12495400
2012-06-01,21844000
2012-06-01,3199200
2017-08-01,13988100
2014-04-01,16376600
2012-02-01,13028400
2016-04-01,4247800
2013-08-01,12600700
2014-08-01,13927700
2017-07-01,17510600
2015-12-01,1817300
2015-08-01,10081500
2017-10-01,22795600
2013-04-01,80847400
2013-11-01,18652200
2015-05-01,1984700
2016-03-01,383700
2016-04-01,4327600
2012-05-01,39673000
2013-07-01,238500
2014-05-01,17606500
2015-12-01,13681900
2018-08-01,52844000
2014-01-01,5721300
2013-11-01,22548500
2014-05-01,50088200
2017-09-01,41776500
2014-10-01,10221300
2012-06-01,18200
2015-09-01,426300
2016-04-01,73709800
2018-08-01,81279900
2012-04-01,9834000
2015-03-01,6517200
2018-09-01,637000
2012-04-01,81900
2015-01-01,12032300
2013-01-01,24219600
2014-02-01,13400
2013-09-01,10729600
2013-09-01,8039600
2017-04-01,371900
2014-11-01,14090500
2015-12-01,16755500
2012-07-01,11997400
2015-06-01,2154000
2014-12-01,20083600
2015-12-01,21865100
2015-10-01,22219700
2014-02-01,11796900
2016-02-01,20261500
2017-02-01,11552500
2014-02-01,8061700
2016-05-01,16058900
2016-08-01,18909700
2015-06-01,19387200
2014-01-01,13106900
2014-11-01,4863700
2014-10-01,13748700
2016-09-01,17913400
2018-09-01,18649800
2015-09-01,8117000
2012-09-01,3183900
2014-10-01,4039900
2013-04-01,3360700
2012-01-01,772700
2018-09-01,195400
2015-03-01,14846900
2012-09-01,609100
2017-04-01,10556900
2017-10-01,39735000
2013-12-01,8488900
2014-11-01,2370900
2015-09-01,205500
2017-02-01,20898600
2014-10-01,5243100
2013-03-01,6809600
2012-01-01,12099400
2016-07-01,12637100
2018-09-01,14098000
2016-09-01,2615200
2018-04-01,6506800
2015-06-01,23234300
2012-05-01,16111200
2016-01-01,7513500
2014-04-01,3496000
2017-06-01,34176400
2015-07-01,8650200
2015-09-01,4929900
2016-12-01,4209700
2014-12-01,7922300
2018-07-01,22361100
2017-02-01,15344300
2016-04-01,10062800
2016-01-01,11570800
2013-08-01,53541700
2014-11-01,32417100
2018-02-01,8329600
2012-02-01,14100
2014-09-01,11562000
2012-09-01,3483700
2012-11-01,244900
2012-02-01,32890500
2013-10-01,22842400
2017-05-01,50591500
2014-09-01,3130100
2016-06-01,5833100
2016-09-01,53079200
2018-07-01,24119900
2015-12-01,4997900
2012-03-01,21927100
2012-09-01,8148400
2013-02-01,33012800
2018-06-01,23817400
2012-05-01,4452300
2017-06-01,31096400
2012-04-01,10599600
2016-05-01,20826400
2016-01-01,375200
2018-06-01,33829200
2014-10-01,2555900
2014-03-01,8177200
2016-12-01,11870600
2018-03-01,9317600
2016-07-01,25700
2017-04-01,9647100
2016-05-01,14912400
2013-09-01,2394100
2013-11-01,2296100
2013-10-01,33491300
2017-01-01,7183900
2018-02-01,357000
2015-01-01,13847100
2014-03-01,12163400
2014-07-01,17331800
2014-06-01,15273700
2012-02-01,20504100
2015-06-01,48480200
2016-04-01,7077400
2014-10-01,11719000
2015-03-01,3619300
2013-11-01,3086200
2012-01-01,23000
2013-03-01,21000
2016-08-01,440000
2018-04-01,16034900
2012-06-01,26737800
2012-02-01,43075000
2015-04-01,19392700
2013-11-01,19810100
2013-06-01,22471900
2015-08-01,5567000
2012-05-01,18915300
2013-09-01,155700
2015-01-01,9685200
2015-10-01,9800
2013-03-01,9404400
2014-04-01,168700
2014-02-01,6649000
2016-11-01,4382000
2016-06-01,11933300
2013-04-01,284100
2014-01-01,38038200
2017-01-01,12799200
2012-06-01,42537500
2017-09-01,18182500
2018-09-01,6263600
2014-11-01,467900
2018-04-01,14139800
2018-03-01,20836600
2015-02-01,231600
2017-02-01,4061100
2015-09-01,6836400
2018-07-01,53295700
2015-11-01,2933700
2013-10-01,7275500
2015-12-01,19587000
2018-04-01,21211400
2017-04-01,219500
2012-12-01,83309800
2017-12-01,2506800
2016-04-01,53402300
2018-08-01,33465400
2017-03-01,13283600
2015-12-01,13275500
2015-02-01,16457300
2015-07-01,27417900
2016-01-01,20829400
2016-01-01,244700
2016-08-01,24345000
2015-10-01,4165000
2014-11-01,13058500
2012-02-01,7901700
2014-08-01,8557400
2017-09-01,14280800
2016-05-01,1917100
2012-05-01,19635600
2013-08-01,9510600
2012-04-01,76021300
2017-06-01,34490400
2017-03-01,12139300
2014-04-01,2126800
2012-02-01,20700
2012-12-01,4747700
2016-05-01,7046100
2017-03-01,11309000
2013-10-01,12441800
2016-07-01,23085600
2015-05-01,46307900
2015-02-01,6375800
2013-10-01,139300
2012-09-01,3557000
2016-05-01,3950400
2017-11-01,21895100
2014-05-01,42873700
2015-04-01,19323800
2013-07-01,16753200
2016-11-01,17100400
2017-07-01,50478800
2015-10-01,148000
2015-06-01,2727500
2012-05-01,22862000
2015-10-01,14217300
2016-01-01,4709900
2014-01-01,2476600
2017-04-01,4777300
2013-11-01,312700
2014-07-01,2424000
2014-01-01,88851400
2018-01-01,5189100
2012-11-01,11937300
2018-06-01,12753200
2015-09-01,12396300
2015-03-01,16992500
2015-08-01,14253900
2012-12-01,2228500
2012-06-01,343500
2015-05-01,21194800
2014-06-01,12824000
2015-05-01,5000800
2015-02-01,3713100
2015-08-01,13123300
2015-05-01,15966600
